,runTime,Value
Heuristic,0.0,71.0
Heuristic,0.006984233856201172,71.0
Heuristic,11.612873554229736,80.0
Heuristic,18.125261783599854,98.0
Heuristic,18.724113702774048,99.0
Heuristic,26.715131759643555,104.0
Heuristic,39.15573239326477,109.0
Heuristic,49.73785901069641,115.0
Heuristic,63.95458126068115,116.0
Heuristic,73.92888617515564,118.0
Heuristic,87.00442242622375,120.0
Heuristic,123.68136358261108,123.0
Heuristic,130.49391150474548,124.0
Heuristic,166.87326765060425,125.0
Heuristic,175.83336281776428,126.0
Heuristic,185.435964345932,127.0
Heuristic,495.27457332611084,129.0
Heuristic,516.1983914375305,131.0
Heuristic,516.2139084339142,133.0
Heuristic,552.8847570419312,134.0
Heuristic,756.6343233585358,135.0
Heuristic,1158.1276469230652,136.0
Heuristic,1180.4656071662903,137.0
