,runTime,Value
Heuristic,0.0,116.0
Heuristic,0.0116424560546875,116.0
Heuristic,14.648735046386719,204.0
Heuristic,33.95968222618103,241.0
Heuristic,52.611682415008545,256.0
Heuristic,104.97957491874695,262.0
Heuristic,122.2104845046997,270.0
Heuristic,150.70232343673706,272.0
Heuristic,172.6136782169342,287.0
Heuristic,196.76162981987,289.0
Heuristic,250.27436923980713,290.0
Heuristic,278.07273149490356,295.0
Heuristic,329.32609367370605,298.0
Heuristic,411.04989528656006,299.0
Heuristic,493.33292961120605,300.0
Heuristic,1470.7182426452637,306.0
Heuristic,1513.0397460460663,308.0
Heuristic,1543.6924505233765,309.0
Heuristic,1632.3309388160706,310.0
Heuristic,1718.9261543750763,312.0
