,runTime,Value
Heuristic,0.0,60.0
Heuristic,0.005652189254760742,60.0
Heuristic,7.196273326873779,74.0
Heuristic,11.877103567123413,80.0
Heuristic,13.06902027130127,82.0
Heuristic,17.038198709487915,86.0
Heuristic,17.603227615356445,87.0
Heuristic,22.498255491256714,90.0
Heuristic,27.394484996795654,92.0
Heuristic,32.653244733810425,94.0
Heuristic,37.85970854759216,97.0
Heuristic,43.08436560630798,98.0
Heuristic,48.36230134963989,99.0
Heuristic,55.76640772819519,100.0
Heuristic,64.70609998703003,102.0
Heuristic,104.80547046661377,104.0
Heuristic,242.9970829486847,106.0
Heuristic,384.8996229171753,109.0
Heuristic,509.39733266830444,111.0
Heuristic,636.2221519947052,112.0
Heuristic,704.2243189811707,114.0
Heuristic,824.6262292861938,115.0
Heuristic,862.0930683612823,116.0
Heuristic,998.9531071186066,119.0
