,runTime,Value
Heuristic,0.00982666015625,100.0
Heuristic,12.914804458618164,160.0
Heuristic,82.74512052536011,194.0
Heuristic,143.04433226585388,210.0
Heuristic,203.6955270767212,222.0
Heuristic,263.5370945930481,229.0
Heuristic,323.75323510169983,231.0
Heuristic,383.60589599609375,239.0
Heuristic,509.6448550224304,242.0
Heuristic,685.6524860858917,243.0
Heuristic,745.1191506385803,244.0
Heuristic,985.1003892421722,245.0
Heuristic,1112.637689590454,246.0
Heuristic,1354.497641324997,247.0
Heuristic,1609.7146351337433,248.0
Heuristic,2214.364546775818,249.0
Heuristic,2790.2906682491302,252.0
Heuristic,3431.0606620311737,252.0
