,runTime,Value
Heuristic,0.009822368621826172,100.0
Heuristic,10.976054191589355,160.0
Heuristic,68.9861843585968,167.0
Heuristic,69.05215668678284,174.0
Heuristic,74.99117732048035,176.0
Heuristic,80.5797369480133,178.0
Heuristic,81.24969172477722,182.0
Heuristic,132.9864010810852,190.0
Heuristic,134.94429683685303,191.0
Heuristic,138.3643717765808,194.0
Heuristic,193.03354501724243,202.0
Heuristic,193.11270761489868,203.0
Heuristic,263.0934522151947,209.0
Heuristic,264.5397779941559,211.0
Heuristic,314.10432291030884,212.0
Heuristic,314.1896586418152,218.0
Heuristic,384.97965693473816,223.0
Heuristic,434.30133080482483,226.0
Heuristic,447.63358902931213,228.0
Heuristic,494.8179886341095,233.0
Heuristic,564.8672018051147,234.0
Heuristic,619.3056118488312,235.0
Heuristic,620.7639310359955,237.0
Heuristic,706.0372052192688,239.0
Heuristic,773.0256638526917,240.0
Heuristic,1382.8234412670135,240.0
