,runTime,Value
Heuristic,0.0,120.0
Heuristic,0.011999845504760742,120.0
Heuristic,14.393439292907715,222.0
Heuristic,41.816991329193115,251.0
Heuristic,73.19699478149414,262.0
Heuristic,104.43117380142212,266.0
Heuristic,131.89346265792847,275.0
Heuristic,159.71467089653015,281.0
Heuristic,190.2283263206482,290.0
Heuristic,217.11596298217773,293.0
Heuristic,247.60650634765625,294.0
Heuristic,278.5661497116089,300.0
Heuristic,306.7504780292511,305.0
Heuristic,331.8745148181915,307.0
Heuristic,360.19108843803406,312.0
Heuristic,621.0734961032867,313.0
Heuristic,1231.171329498291,314.0
Heuristic,1379.82492852211,315.0
Heuristic,1592.1272583007812,316.0
