,runTime,Value
Heuristic,0.0,64.0
Heuristic,0.005205869674682617,64.0
Heuristic,6.109457731246948,77.0
Heuristic,10.373028755187988,82.0
Heuristic,12.579110383987427,85.0
Heuristic,15.892774820327759,90.0
Heuristic,20.46373462677002,92.0
Heuristic,33.35350847244263,93.0
Heuristic,38.145018339157104,94.0
Heuristic,42.91224765777588,97.0
Heuristic,46.91066336631775,99.0
Heuristic,52.68655300140381,102.0
Heuristic,87.24334025382996,103.0
Heuristic,325.7704453468323,104.0
Heuristic,325.77543091773987,105.0
Heuristic,391.62095975875854,107.0
Heuristic,397.35625863075256,108.0
Heuristic,679.9435880184174,109.0
Heuristic,1238.7183775901794,110.0
