,runTime,Value
Heuristic,0.0,48.0
Heuristic,2.0101025104522705,79.0
Heuristic,3.2566699981689453,84.0
Heuristic,4.761253833770752,94.0
Heuristic,6.337594509124756,99.0
Heuristic,8.164495944976807,101.0
Heuristic,9.718714952468872,102.0
Heuristic,25.692392587661743,103.0
Heuristic,50.333086252212524,104.0
Heuristic,52.64128232002258,105.0
Heuristic,104.74660086631775,106.0
Heuristic,149.78451299667358,107.0
Heuristic,183.90503334999084,108.0
Heuristic,209.0609884262085,110.0
Heuristic,231.81386804580688,111.0
Heuristic,234.05130338668823,112.0
Heuristic,235.85524821281433,113.0
Heuristic,275.27928495407104,114.0
Heuristic,314.5585775375366,116.0
Heuristic,413.097669839859,118.0
Heuristic,729.0176718235016,120.0
