,runTime,Value
Heuristic,0.0,72.0
Heuristic,11.155524969100952,124.0
Heuristic,28.433823823928833,148.0
Heuristic,46.97791647911072,162.0
Heuristic,64.14941143989563,173.0
Heuristic,122.41582489013672,179.0
Heuristic,134.38418126106262,180.0
Heuristic,149.44869947433472,181.0
Heuristic,165.8258340358734,182.0
Heuristic,183.35181856155396,184.0
Heuristic,196.82687044143677,187.0
Heuristic,250.7801547050476,188.0
Heuristic,268.4658536911011,190.0
Heuristic,1291.0956842899323,192.00000021414425
Heuristic,1291.100692987442,194.0
Heuristic,1291.1056938171387,195.0
