,runTime,Value
Heuristic,0.0,60.0
Heuristic,8.806851148605347,89.0
Heuristic,18.356460332870483,99.0
Heuristic,28.78471541404724,106.0
Heuristic,39.330206871032715,115.0
Heuristic,50.97432041168213,117.0
Heuristic,63.61879825592041,130.0
Heuristic,72.67722702026367,134.0
Heuristic,82.52839207649231,136.0
Heuristic,92.57629370689392,138.0
Heuristic,102.46177315711975,142.0
Heuristic,240.73741745948792,144.0
Heuristic,240.74040627479553,145.0
Heuristic,283.66895270347595,147.0
Heuristic,332.2377541065216,149.0
Heuristic,359.619487285614,150.0
Heuristic,818.3961780071259,152.0
Heuristic,869.6290147304535,153.0
Heuristic,1422.1065764427185,154.0
