,runTime,Value
Heuristic,0.0,60.0
Heuristic,0.007628440856933594,60.0
Heuristic,9.872600555419922,89.0
Heuristic,12.771256685256958,95.0
Heuristic,16.051358222961426,101.0
Heuristic,19.03868317604065,106.0
Heuristic,22.412415981292725,110.0
Heuristic,26.093278408050537,114.0
Heuristic,29.367273092269897,117.0
Heuristic,32.82918930053711,119.0
Heuristic,36.91470670700073,121.0
Heuristic,40.970901012420654,122.0
Heuristic,44.34736633300781,128.0
Heuristic,48.063942670822144,131.0
Heuristic,51.9628746509552,135.0
Heuristic,61.11853098869324,137.0
Heuristic,65.19502758979797,138.0
Heuristic,136.10209465026855,139.0
Heuristic,139.5500886440277,143.0
Heuristic,143.717853307724,144.0
Heuristic,182.76422452926636,145.0
Heuristic,186.5806167125702,146.0
Heuristic,226.5135622024536,147.0
Heuristic,230.69604086875916,148.0
Heuristic,659.8465926647186,149.0
Heuristic,672.639750957489,151.0
Heuristic,672.6437125205994,152.0
Heuristic,902.079966545105,153.0
Heuristic,943.8320293426514,154.0
Heuristic,1380.8157229423523,156.0
