,runTime,Value
Heuristic,0.0,100.0
Heuristic,0.00872182846069336,100.0
Heuristic,11.457866668701172,148.0
Heuristic,16.910489320755005,155.0
Heuristic,24.03944158554077,164.0
Heuristic,30.314621925354004,169.0
Heuristic,36.24162220954895,176.0
Heuristic,42.29196810722351,180.0
Heuristic,49.233516454696655,186.0
Heuristic,55.06187295913696,189.0
Heuristic,61.88153290748596,193.0
Heuristic,68.1198034286499,195.0
Heuristic,75.46862459182739,198.0
Heuristic,81.84383130073547,201.0
Heuristic,87.86722183227539,205.0
Heuristic,94.9188072681427,208.0
Heuristic,102.40251660346985,211.0
Heuristic,109.60260510444641,213.0
Heuristic,152.56706476211548,214.0
Heuristic,193.1337776184082,216.0
Heuristic,199.66378831863403,217.0
Heuristic,281.9727063179016,219.0
Heuristic,288.6756749153137,221.0
Heuristic,296.8534605503082,224.0
Heuristic,337.6441957950592,226.0
Heuristic,345.7491958141327,228.0
Heuristic,354.0782952308655,230.0
Heuristic,361.5943670272827,231.0
Heuristic,373.6336476802826,232.0
Heuristic,380.79107689857483,233.0
Heuristic,463.37071681022644,236.0
Heuristic,616.2860517501831,237.0
Heuristic,875.3075909614563,240.0
Heuristic,1542.3302693367004,243.0
