,runTime,Value
Heuristic,0.0,120.0
Heuristic,0.011951446533203125,120.0
Heuristic,15.231061935424805,222.0
Heuristic,37.210203647613525,237.0
Heuristic,38.90909481048584,240.0
Heuristic,63.26112127304077,249.0
Heuristic,65.0566565990448,250.0
Heuristic,88.6216390132904,256.0
Heuristic,112.29832434654236,266.0
Heuristic,136.05597567558289,271.0
Heuristic,159.48018193244934,275.0
Heuristic,186.61253380775452,279.0
Heuristic,217.42076516151428,284.0
Heuristic,220.60775518417358,285.0
Heuristic,245.37164449691772,287.0
Heuristic,270.01206731796265,290.0
Heuristic,297.3616681098938,291.0
Heuristic,356.1601011753082,294.0
Heuristic,387.0186412334442,295.0
Heuristic,415.6891300678253,296.0
Heuristic,441.45614314079285,297.0
Heuristic,464.21692848205566,299.0
Heuristic,1081.4483115673065,300.0
