,runTime,Value
0,0.0042073726654052734,36.0
1,26.398910760879517,44.0
2,27.08283519744873,54.0
3,145.98690557479858,58.0
4,145.9918713569641,62.0
5,205.93213653564453,78.0
6,205.93613696098328,79.0
7,205.94013738632202,81.0
8,305.5999810695648,91.0
9,360.686989068985,93.0
10,360.68994331359863,99.0
11,360.6929843425751,101.0
12,437.6278467178345,106.0
13,437.63289189338684,111.0
14,437.6369709968567,113.0
15,533.1366460323334,114.0
16,533.1470491886139,118.0
17,1038.5163612365723,124.0
18,1568.4152300357819,126.0
