,runTime,Value
Heuristic,0.0,68.0
Heuristic,0.007912635803222656,68.0
Heuristic,16.74890446662903,103.0
Heuristic,31.60704231262207,119.0
Heuristic,46.248801946640015,134.0
Heuristic,59.84399604797363,145.0
Heuristic,73.61160016059875,152.0
Heuristic,87.50854992866516,160.0
Heuristic,101.35824227333069,164.0
Heuristic,116.11367464065552,166.0
Heuristic,129.959655046463,167.0
Heuristic,144.32929611206055,168.0
Heuristic,216.93909621238708,169.0
Heuristic,230.4843430519104,170.0
Heuristic,274.7094066143036,172.0
Heuristic,386.9247715473175,173.0
Heuristic,507.64053750038147,175.0
Heuristic,953.943558216095,176.0
Heuristic,1085.944895029068,177.0
Heuristic,2495.0523884296417,178.0
Heuristic,2561.124848127365,179.0
