,runTime,Value
Heuristic,0.0,48.0
Heuristic,0.016618728637695312,48.0
Heuristic,1.753718614578247,67.0
Heuristic,3.4084928035736084,74.0
Heuristic,5.237633466720581,80.0
Heuristic,6.619506359100342,81.0
Heuristic,8.39388656616211,86.0
Heuristic,10.135283946990967,88.0
Heuristic,11.860186576843262,90.0
Heuristic,13.569629669189453,94.0
Heuristic,15.66447901725769,97.0
Heuristic,17.347724437713623,101.0
Heuristic,27.25103235244751,102.0
Heuristic,39.00833034515381,103.0
Heuristic,40.63652682304382,104.0
Heuristic,58.55913853645325,106.0
Heuristic,70.52331256866455,107.0
Heuristic,100.67470860481262,108.0
Heuristic,114.6378481388092,109.0
Heuristic,212.35293793678284,111.0
Heuristic,302.6320991516113,112.0
Heuristic,374.0166828632355,113.0
Heuristic,696.8751916885376,114.0
Heuristic,818.6620986461639,115.0
Heuristic,1390.2047986984253,116.0
Heuristic,1466.0393371582031,117.0
