,runTime,Value,bound
Heuristic,0.0,68.0,204
Heuristic,13.962486505508423,103.0,204
Heuristic,26.461986780166626,126.0,204
Heuristic,38.16241264343262,141.0,204
Heuristic,50.027223110198975,147.0,204
Heuristic,63.06267166137695,150.0,204
Heuristic,76.72103834152222,154.0,204
Heuristic,89.64031291007996,157.0,204
Heuristic,102.44057726860046,158.0,204
Heuristic,115.75457572937012,161.0,204
Heuristic,128.3287844657898,162.0,204
Heuristic,142.43836045265198,163.0,204
Heuristic,575.3653936386108,164.0,204
Heuristic,575.3821110725403,165.0,204
Heuristic,588.609689950943,167.0,204
Heuristic,691.7250719070435,169.0,204
Heuristic,781.1484825611115,170.0,204
Heuristic,1124.4422249794006,171.0,204
Heuristic,1124.4500529766083,173.0,204
Heuristic,1528.8917150497437,174.0,204
Heuristic,1830.6965651512146,175.0,204
Heuristic,1830.703202009201,176.0,204
Heuristic,2491.9151973724365,178.0,204
Heuristic,2611.566245317459,179.0,204
Heuristic,2907.8888761997223,180.0,204
Heuristic,3600.102156162262,180.0,204
