,runTime,Value,bound
Heuristic,0.0,48.0,144
Heuristic,1.9136946201324463,67.0,144
Heuristic,3.681950569152832,74.0,144
Heuristic,5.589047908782959,75.0,144
Heuristic,7.370260715484619,83.0,144
Heuristic,9.059119462966919,85.0,144
Heuristic,10.950235366821289,90.0,144
Heuristic,12.553158283233643,95.0,144
Heuristic,14.348650217056274,97.0,144
Heuristic,16.18520998954773,98.0,144
Heuristic,26.484971046447754,100.0,144
Heuristic,42.443480014801025,102.0,144
Heuristic,44.20339298248291,103.0,144
Heuristic,46.453287839889526,104.0,144
Heuristic,59.676202058792114,105.0,144
Heuristic,72.50274658203125,106.0,144
Heuristic,74.73395228385925,107.0,144
Heuristic,113.61316347122192,108.0,144
Heuristic,142.76000881195068,109.0,144
Heuristic,201.1353816986084,110.0,144
Heuristic,288.35817098617554,111.0,144
Heuristic,313.4212167263031,112.0,144
Heuristic,313.426730632782,113.0,144
Heuristic,416.8394629955292,114.0,144
Heuristic,494.19244170188904,115.0,144
Heuristic,554.1570405960083,116.0,144
Heuristic,976.8235352039337,117.0,144
Heuristic,1976.1289699077606,118.0,144
Heuristic,2059.5658128261566,119.0,144
Heuristic,2087.4961326122284,120.0,144
Heuristic,2087.5486392974854,120.0,144
