,runTime,Value
Heuristic,0.0,88.0
Heuristic,0.014106512069702148,88.0
Heuristic,11.684526443481445,161.0
Heuristic,37.72829604148865,205.0
Heuristic,61.99453377723694,216.0
Heuristic,89.03710412979126,218.0
Heuristic,167.3023920059204,225.0
Heuristic,182.7460515499115,227.0
Heuristic,185.89667081832886,230.0
Heuristic,201.39858174324036,232.0
Heuristic,217.24362802505493,233.0
Heuristic,249.91003513336182,235.0
Heuristic,278.01518201828003,236.0
Heuristic,485.4801707267761,237.0
Heuristic,1258.3927705287933,238.0
Heuristic,3452.812094449997,239.0
