,runTime,Value
Heuristic,0.0,68.0
Heuristic,0.009589672088623047,68.0
Heuristic,13.20215654373169,110.0
Heuristic,26.519272089004517,126.0
Heuristic,40.18738293647766,134.0
Heuristic,53.21811771392822,139.0
Heuristic,67.09806966781616,143.0
Heuristic,138.8191158771515,146.0
Heuristic,149.84010791778564,149.0
Heuristic,160.21126627922058,150.0
Heuristic,172.83974361419678,153.0
Heuristic,184.88347125053406,155.0
Heuristic,196.89055132865906,159.0
Heuristic,209.7925021648407,163.0
Heuristic,314.9262008666992,167.0
Heuristic,358.47782945632935,169.0
Heuristic,432.2449653148651,170.0
Heuristic,539.7417590618134,171.0
Heuristic,636.6716966629028,172.0
Heuristic,650.1081252098083,173.0
Heuristic,706.3759014606476,174.0
Heuristic,892.8577401638031,176.0
