,runTime,Value
Heuristic,0.0,48.0
Heuristic,1.9658238887786865,67.0
Heuristic,3.190095901489258,81.0
Heuristic,4.647540330886841,85.0
Heuristic,6.300281047821045,87.0
Heuristic,8.380090475082397,91.0
Heuristic,10.255371570587158,94.0
Heuristic,12.13692307472229,98.0
Heuristic,14.189702033996582,99.0
Heuristic,26.265166997909546,100.0
Heuristic,27.93565607070923,102.0
Heuristic,30.478644132614136,103.0
Heuristic,32.27707815170288,107.0
Heuristic,56.725306034088135,108.0
Heuristic,78.92167019844055,109.0
Heuristic,89.90784645080566,110.0
Heuristic,91.83228945732117,111.0
Heuristic,107.96533489227295,112.0
Heuristic,158.67454147338867,113.0
Heuristic,170.05116367340088,115.0
Heuristic,192.18798756599426,118.0
Heuristic,224.31280660629272,120.0
