,runTime,Value
Heuristic,0.0,84.0
Heuristic,0.007056474685668945,84.0
Heuristic,23.97388768196106,143.0
Heuristic,37.510876417160034,154.0
Heuristic,59.02374267578125,164.0
Heuristic,77.23198175430298,174.0
Heuristic,90.61752676963806,181.0
Heuristic,113.84004759788513,183.0
Heuristic,139.80445551872253,187.0
Heuristic,153.0415334701538,189.0
Heuristic,174.59217238426208,191.0
Heuristic,203.29386687278748,193.0
Heuristic,227.25823855400085,195.0
Heuristic,254.71679520606995,197.0
Heuristic,277.8281059265137,198.0
Heuristic,301.79634952545166,200.0
Heuristic,330.6792781352997,201.0
Heuristic,599.1076543331146,202.0
Heuristic,599.1136765480042,203.0
Heuristic,647.9508075714111,205.0
Heuristic,647.955854177475,206.0
Heuristic,898.2081730365753,207.0
Heuristic,924.201299905777,209.0
Heuristic,2321.7566130161285,212.0
Heuristic,2612.674706697464,213.0
