,runTime,Value
Heuristic,0.0,84.0
Heuristic,0.010465621948242188,84.0
Heuristic,24.25494146347046,150.0
Heuristic,33.98982381820679,173.0
Heuristic,43.79076170921326,184.0
Heuristic,53.60020709037781,191.0
Heuristic,63.65210151672363,195.0
Heuristic,102.1529688835144,198.0
Heuristic,139.83701634407043,199.0
Heuristic,177.9111180305481,202.0
Heuristic,733.9935123920441,204.0
Heuristic,733.9995079040527,205.0
Heuristic,774.3124549388885,209.0
Heuristic,1264.4522624015808,210.0
Heuristic,1296.954339504242,211.0
Heuristic,1333.8236110210419,212.0
Heuristic,1403.8367550373077,214.0
Heuristic,1674.9608416557312,215.0
Heuristic,2165.102598428726,216.0
Heuristic,2225.4320015907288,219.0
Heuristic,2347.6865627765656,220.0
Heuristic,2347.7035892009735,222.0
Heuristic,2362.8994023799896,223.0
Heuristic,2431.414063692093,224.0
Heuristic,2908.56973195076,225.0
Heuristic,2928.403209209442,226.0
Heuristic,3026.538639307022,227.0
Heuristic,3600.178689479828,227.0
