,runTime,Value,bound
Heuristic,0.0,92.0,276
Heuristic,9.300835609436035,151.0,276
Heuristic,17.405714988708496,176.0,276
Heuristic,27.131966590881348,189.0,276
Heuristic,38.75866413116455,198.0,276
Heuristic,50.98882079124451,205.0,276
Heuristic,91.036630153656,212.0,276
Heuristic,103.35232710838318,214.0,276
Heuristic,115.31765866279602,218.0,276
Heuristic,126.84906840324402,222.0,276
Heuristic,138.27590656280518,224.0,276
Heuristic,413.70068764686584,225.0,276
Heuristic,593.0897827148438,227.0,276
Heuristic,751.1514611244202,230.0,276
Heuristic,1322.3007340431213,231.0,276
Heuristic,1900.7265939712524,232.0,276
Heuristic,2554.1160233020782,233.0,276
Heuristic,2565.0385427474976,234.0,276
Heuristic,3145.876216650009,235.0,276
Heuristic,3600.0909492969513,235.0,276
