,runTime,Value,bound
Heuristic,0.0,104.0,312
Heuristic,12.804872035980225,217.0,312
Heuristic,31.073477268218994,241.0,312
Heuristic,50.566011905670166,258.0,312
Heuristic,68.51506185531616,268.0,312
Heuristic,88.00938749313354,270.0,312
Heuristic,107.0265748500824,271.0,312
Heuristic,125.46475100517273,273.0,312
Heuristic,489.65726685523987,275.0,312
Heuristic,857.1049976348877,276.0,312
Heuristic,876.22989153862,277.0,312
Heuristic,894.7130978107452,278.0,312
Heuristic,913.1536090373993,279.0,312
Heuristic,1280.2342822551727,280.0,312
Heuristic,1306.7941732406616,281.0,312
Heuristic,1333.6976599693298,282.0,312
Heuristic,1352.7853872776031,284.0,312
Heuristic,1375.4126088619232,286.0,312
Heuristic,2920.128851890564,287.0,312
Heuristic,3600.0938601493835,287.0,312
