,runTime,Value,bound
Heuristic,0.0,96.0,288
Heuristic,12.623896360397339,197.0,288
Heuristic,52.528942584991455,224.0,288
Heuristic,87.50028777122498,235.0,288
Heuristic,124.98037457466125,248.0,288
Heuristic,159.97527050971985,249.0,288
Heuristic,191.75459694862366,250.0,288
Heuristic,225.61860632896423,252.0,288
Heuristic,258.74741291999817,253.0,288
Heuristic,296.5277361869812,255.0,288
Heuristic,333.62518763542175,256.0,288
Heuristic,375.59375953674316,257.0,288
Heuristic,408.6019706726074,258.0,288
Heuristic,443.0592873096466,259.0,288
Heuristic,616.3414418697357,260.0,288
Heuristic,663.4683058261871,262.0,288
Heuristic,828.6646049022675,263.0,288
Heuristic,868.9313416481018,264.0,288
Heuristic,3374.548758506775,266.0,288
Heuristic,3600.225280046463,266.0,288
