,runTime,Value,bound
Heuristic,0.0,104.0,312
Heuristic,12.333723783493042,217.0,312
Heuristic,56.20915770530701,247.0,312
Heuristic,93.23066830635071,257.0,312
Heuristic,133.0592803955078,264.0,312
Heuristic,171.18180775642395,267.0,312
Heuristic,217.46018505096436,273.0,312
Heuristic,256.0547511577606,275.0,312
Heuristic,295.60077452659607,278.0,312
Heuristic,2659.584992170334,280.0,312
Heuristic,2659.5949923992157,283.0,312
Heuristic,2696.458795785904,285.0,312
Heuristic,2741.4141566753387,287.0,312
Heuristic,3600.1041328907013,287.0,312
