,runTime,Value,bound
Heuristic,0.0,76.0,228
Heuristic,20.59165596961975,132.0,228
Heuristic,42.22272324562073,153.0,228
Heuristic,63.25234317779541,157.0,228
Heuristic,81.25427341461182,165.0,228
Heuristic,103.49350571632385,171.0,228
Heuristic,126.00248003005981,173.0,228
Heuristic,149.0298731327057,178.0,228
Heuristic,171.42864322662354,181.0,228
Heuristic,191.33926701545715,186.0,228
Heuristic,245.92994499206543,188.0,228
Heuristic,268.74711441993713,190.0,228
Heuristic,324.04179549217224,191.0,228
Heuristic,480.65699768066406,192.0,228
Heuristic,825.7551259994507,194.0,228
Heuristic,847.2995319366455,196.0,228
Heuristic,1381.3324253559113,197.0,228
Heuristic,1934.3181066513062,199.0,228
Heuristic,3600.208258628845,199.0,228
