,runTime,Value,bound
Heuristic,0.0,84.0,252
Heuristic,29.07870841026306,150.0,252
Heuristic,41.01404285430908,173.0,252
Heuristic,51.832504749298096,184.0,252
Heuristic,61.972901344299316,191.0,252
Heuristic,72.07335925102234,195.0,252
Heuristic,110.99883651733398,198.0,252
Heuristic,147.9775505065918,199.0,252
Heuristic,186.04309463500977,202.0,252
Heuristic,757.8123593330383,204.0,252
Heuristic,757.819358587265,205.0,252
Heuristic,794.7699959278107,207.0,252
Heuristic,1300.9325790405273,208.0,252
Heuristic,1723.300850391388,209.0,252
Heuristic,1723.3073563575745,210.0,252
Heuristic,1733.1808722019196,211.0,252
Heuristic,2303.0538301467896,212.0,252
Heuristic,2909.482045650482,213.0,252
Heuristic,2949.6850576400757,214.0,252
Heuristic,2961.1419911384583,216.0,252
Heuristic,3127.3691346645355,217.0,252
Heuristic,3342.077977657318,218.0,252
Heuristic,3600.165405035019,218.0,252
