,runTime,Value
Heuristic,0.0,68.0
Heuristic,13.297265529632568,110.0
Heuristic,25.328684329986572,119.0
Heuristic,38.73380255699158,133.0
Heuristic,52.084704875946045,138.0
Heuristic,64.46130800247192,142.0
Heuristic,78.34627199172974,145.0
Heuristic,91.57363152503967,146.0
Heuristic,210.3243978023529,157.0
Heuristic,224.4021179676056,159.0
Heuristic,238.40823936462402,160.0
Heuristic,279.5544242858887,161.0
Heuristic,688.5986289978027,162.0
Heuristic,688.6026661396027,163.0
Heuristic,890.9899723529816,164.0
Heuristic,1104.5880501270294,165.0
Heuristic,1143.4040677547455,168.0
Heuristic,1514.8395376205444,169.0
Heuristic,2079.9213013648987,170.0
Heuristic,2186.3018531799316,172.0
Heuristic,2558.605845451355,173.0
Heuristic,3130.398661136627,174.0
