,runTime,Value
Heuristic,0.0,96.0
Heuristic,14.109219074249268,191.0
Heuristic,30.42643117904663,220.0
Heuristic,47.20530724525452,222.0
Heuristic,64.90336084365845,238.0
Heuristic,82.70199871063232,246.0
Heuristic,101.86288547515869,248.0
Heuristic,142.40958833694458,249.0
Heuristic,458.1314594745636,250.0
Heuristic,474.944215297699,253.0
Heuristic,493.5900926589966,257.0
Heuristic,834.3772203922272,258.0
Heuristic,851.2508928775787,260.0
Heuristic,1171.8310644626617,261.0
Heuristic,1547.5109717845917,264.0
Heuristic,2937.400027990341,265.0
Heuristic,2937.408078432083,266.0
Heuristic,2955.158625602722,267.0
