,runTime,Value
Heuristic,0.0,104.0
Heuristic,12.411130666732788,202.0
Heuristic,73.41608333587646,211.0
Heuristic,176.49456548690796,225.0
Heuristic,265.0898141860962,235.0
Heuristic,366.9834551811218,242.0
Heuristic,473.2951817512512,259.0
Heuristic,574.9274356365204,262.0
Heuristic,679.1892125606537,265.0
Heuristic,776.493887424469,266.0
Heuristic,872.427680015564,268.0
Heuristic,950.8514637947083,269.0
Heuristic,1054.8405225276947,273.0
Heuristic,1161.6412563323975,274.0
Heuristic,1259.1458349227905,277.0
Heuristic,1355.8141605854034,279.0
Heuristic,1468.0951104164124,282.0
Heuristic,2032.127762556076,283.0
Heuristic,2944.931304216385,284.0
Heuristic,3088.532285928726,285.0
Heuristic,3585.1397275924683,286.0
