,runTime,Value
Heuristic,0.0,96.0
Heuristic,0.011562108993530273,96.0
Heuristic,12.83849573135376,172.0
Heuristic,28.689561367034912,204.0
Heuristic,29.866952180862427,205.0
Heuristic,46.79474854469299,217.0
Heuristic,64.99761080741882,233.0
Heuristic,66.12370109558105,235.0
Heuristic,83.13236284255981,244.0
Heuristic,100.39391279220581,246.0
Heuristic,122.01468539237976,250.0
Heuristic,145.15649914741516,251.0
Heuristic,163.51145458221436,255.0
Heuristic,180.9542543888092,261.0
Heuristic,296.22669315338135,263.0
Heuristic,319.5937411785126,264.0
Heuristic,436.6716375350952,265.0
Heuristic,454.46727299690247,266.0
