,runTime,Value
Heuristic,0.0,96.0
Heuristic,0.008452177047729492,96.0
Heuristic,14.290061235427856,191.0
Heuristic,38.08288884162903,220.0
Heuristic,61.325499534606934,237.0
Heuristic,84.4168393611908,247.0
Heuristic,107.29099941253662,250.0
Heuristic,193.24885296821594,255.0
Heuristic,224.7829704284668,259.0
Heuristic,264.70193576812744,260.0
Heuristic,287.0686445236206,261.0
Heuristic,319.2553038597107,262.0
Heuristic,853.6141510009766,263.0
Heuristic,888.7637407779694,264.0
Heuristic,1023.6717054843903,265.0
Heuristic,1108.9989776611328,266.0
Heuristic,1445.8050727844238,268.0
Heuristic,1566.5625104904175,269.0
