,runTime,Value
Heuristic,0.0,112.0
Heuristic,0.011064291000366211,112.0
Heuristic,14.819435596466064,222.0
Heuristic,36.24429702758789,242.0
Heuristic,55.67495036125183,258.0
Heuristic,110.04740595817566,269.0
Heuristic,129.4442172050476,270.0
Heuristic,190.20105075836182,272.0
Heuristic,209.5438849925995,273.0
Heuristic,264.79024958610535,278.0
Heuristic,378.5271339416504,281.0
Heuristic,435.1557340621948,282.0
Heuristic,454.2044024467468,283.0
Heuristic,507.73823404312134,288.0
Heuristic,589.5590620040894,290.0
Heuristic,608.1145515441895,291.0
Heuristic,691.9449796676636,292.0
Heuristic,746.4510140419006,295.0
Heuristic,904.5235366821289,296.0
Heuristic,1044.8542220592499,297.0
Heuristic,1128.7530717849731,300.0
Heuristic,1744.7997601032257,301.0
