,runTime,Value
Heuristic,0.0,68.0
Heuristic,0.007905244827270508,68.0
Heuristic,13.076117992401123,110.0
Heuristic,26.313303470611572,126.0
Heuristic,38.96555185317993,138.0
Heuristic,50.49136137962341,140.0
Heuristic,63.728307247161865,145.0
Heuristic,79.012366771698,146.0
Heuristic,105.76923441886902,153.0
Heuristic,183.8523199558258,155.0
Heuristic,245.31123208999634,156.0
Heuristic,268.73116397857666,158.0
Heuristic,282.61901593208313,159.0
Heuristic,296.4739410877228,160.0
Heuristic,312.37861728668213,161.0
Heuristic,442.5162398815155,163.0
Heuristic,472.4054048061371,165.0
Heuristic,486.2949311733246,168.0
Heuristic,500.4318597316742,169.0
Heuristic,608.6774668693542,170.0
Heuristic,688.6046116352081,171.0
Heuristic,688.6086115837097,172.0
Heuristic,733.213536977768,173.0
Heuristic,733.2165367603302,174.0
Heuristic,982.5372633934021,176.0
