,runTime,Value
Heuristic,0.0,63.0
Heuristic,14.665443897247314,87.0
Heuristic,22.9306058883667,91.0
Heuristic,31.415717840194702,109.0
Heuristic,42.4746413230896,114.0
Heuristic,54.67093086242676,115.0
Heuristic,67.417475938797,120.0
Heuristic,68.12679386138916,121.0
Heuristic,79.35803985595703,122.0
Heuristic,95.27261114120483,127.0
Heuristic,180.261545419693,129.0
Heuristic,193.86894297599792,130.0
Heuristic,205.9574327468872,132.0
Heuristic,219.13624835014343,133.0
Heuristic,234.08459901809692,134.0
Heuristic,251.81266808509827,135.0
Heuristic,265.4438440799713,137.0
Heuristic,495.8911759853363,138.0
Heuristic,724.72518491745,139.0
Heuristic,1023.2446928024292,141.0
Heuristic,1392.5129585266113,142.0
Heuristic,1392.5289595127106,143.0
Heuristic,1392.5389575958252,144.0
