,runTime,Value
Heuristic,0.0,48.0
Heuristic,4.898929595947266,79.0
Heuristic,6.964012145996094,88.0
Heuristic,8.490673542022705,90.0
Heuristic,9.923950433731079,94.0
Heuristic,11.499771118164062,96.0
Heuristic,13.385685920715332,100.0
Heuristic,14.98827314376831,102.0
Heuristic,48.925461530685425,104.0
Heuristic,66.63733792304993,107.0
Heuristic,122.0878095626831,108.0
Heuristic,174.1814889907837,109.0
Heuristic,272.3028404712677,110.0
Heuristic,272.30708360671997,111.0
Heuristic,502.27002930641174,112.0
Heuristic,625.8880040645599,113.0
Heuristic,829.8517000675201,114.0
Heuristic,925.0457601547241,115.0
Heuristic,1026.0454823970795,116.0
Heuristic,1027.7215621471405,118.0
