,runTime,Value
Heuristic,0.0,88.0
Heuristic,12.543542861938477,181.0
Heuristic,78.0499222278595,194.0
Heuristic,152.91440725326538,202.0
Heuristic,231.4951047897339,203.0
Heuristic,297.9908847808838,205.0
Heuristic,381.6692395210266,210.0
Heuristic,444.3871214389801,211.0
Heuristic,519.7113552093506,212.0
Heuristic,594.8561460971832,214.0
Heuristic,671.3574635982513,219.0
Heuristic,748.6838681697845,224.0
Heuristic,826.5548384189606,226.0
Heuristic,902.1451859474182,230.0
Heuristic,1133.3585078716278,233.0
Heuristic,1228.698430776596,234.0
