,runTime,Value
Heuristic,0.0,72.0
Heuristic,0.009998798370361328,72.0
Heuristic,12.694843530654907,124.0
Heuristic,22.687140941619873,129.0
Heuristic,32.29599738121033,131.0
Heuristic,43.15763878822327,137.0
Heuristic,53.03969693183899,141.0
Heuristic,62.9211802482605,147.0
Heuristic,73.0289831161499,149.0
Heuristic,84.67593383789062,152.0
Heuristic,97.294602394104,157.0
Heuristic,107.22568869590759,161.0
Heuristic,121.16343331336975,162.0
Heuristic,134.31561398506165,164.0
Heuristic,148.93303227424622,165.0
Heuristic,160.8999309539795,166.0
Heuristic,178.34766149520874,169.0
Heuristic,192.06953740119934,172.0
Heuristic,205.04387211799622,175.0
Heuristic,231.5397162437439,178.0
Heuristic,243.09931588172913,180.0
Heuristic,256.0127296447754,181.0
Heuristic,267.2464714050293,182.0
Heuristic,279.8770053386688,183.0
Heuristic,367.69269371032715,184.0
Heuristic,379.7590436935425,185.0
Heuristic,397.6693551540375,187.0
Heuristic,409.4980797767639,188.0
Heuristic,562.3625962734222,189.0
Heuristic,632.1725718975067,190.0
Heuristic,764.2941842079163,191.0
Heuristic,857.4639275074005,192.0
Heuristic,1101.4648361206055,195.0
Heuristic,1174.724709033966,198.0
Heuristic,1442.3473544120789,200.0
Heuristic,1756.3613650798798,203.0
