,runTime,Value
Heuristic,0.0,120.0
Heuristic,0.014373064041137695,120.0
Heuristic,15.878527641296387,222.0
Heuristic,142.5483090877533,230.0
Heuristic,274.5434215068817,237.0
Heuristic,401.8252954483032,242.0
Heuristic,531.4472966194153,247.0
Heuristic,662.4622378349304,249.0
Heuristic,662.6610610485077,254.0
Heuristic,788.2606027126312,256.0
Heuristic,821.7413742542267,257.0
Heuristic,844.7844035625458,259.0
Heuristic,999.7862298488617,263.0
Heuristic,1129.1212203502655,266.0
Heuristic,1132.3793108463287,268.0
Heuristic,1347.5165042877197,269.0
Heuristic,1482.6859424114227,274.0
Heuristic,1689.9926989078522,276.0
