,runTime,Value
Heuristic,0.0,72.0
Heuristic,0.006746053695678711,72.0
Heuristic,11.363067150115967,124.0
Heuristic,17.060375690460205,131.0
Heuristic,21.303252935409546,137.0
Heuristic,24.641709566116333,144.0
Heuristic,33.66011309623718,149.0
Heuristic,39.694985151290894,151.0
Heuristic,43.39348006248474,154.0
Heuristic,50.609532833099365,158.0
Heuristic,55.41416811943054,163.0
Heuristic,63.65861988067627,165.0
Heuristic,67.70660352706909,168.0
Heuristic,73.12023878097534,170.0
Heuristic,79.1401879787445,172.0
Heuristic,83.13493871688843,173.0
Heuristic,88.27746891975403,174.0
Heuristic,96.4266562461853,177.0
Heuristic,103.99070882797241,178.0
Heuristic,110.56327962875366,179.0
Heuristic,115.06675958633423,180.0
Heuristic,153.5917251110077,181.0
Heuristic,159.60889554023743,183.0
Heuristic,165.44335794448853,184.0
Heuristic,244.9775493144989,188.0
Heuristic,283.88785696029663,189.0
Heuristic,322.5399148464203,192.0
Heuristic,326.69882464408875,193.0
Heuristic,335.13052248954773,194.0
Heuristic,373.5783312320709,195.0
Heuristic,415.2325539588928,197.0
Heuristic,444.5468907356262,198.0
Heuristic,451.10420513153076,199.0
Heuristic,478.03109407424927,200.0
Heuristic,517.1534044742584,201.0
Heuristic,675.3011448383331,202.0
Heuristic,743.9451887607574,203.0
Heuristic,925.0291759967804,204.0
Heuristic,1275.0544984340668,209.0
Heuristic,1301.8532178401947,210.0
