,runTime,Value
Heuristic,0.0,96.0
Heuristic,0.008568048477172852,96.0
Heuristic,17.731598615646362,172.0
Heuristic,38.34042739868164,185.0
Heuristic,39.91016387939453,186.0
Heuristic,60.63944745063782,199.0
Heuristic,62.36867904663086,200.0
Heuristic,86.31918573379517,211.0
Heuristic,107.84591865539551,216.0
Heuristic,130.62284183502197,220.0
Heuristic,154.06857132911682,225.0
Heuristic,177.62731504440308,227.0
Heuristic,200.08460688591003,231.0
Heuristic,230.44424033164978,236.0
Heuristic,252.79570174217224,238.0
Heuristic,275.26028990745544,239.0
Heuristic,305.76312589645386,240.0
Heuristic,337.50452637672424,241.0
Heuristic,360.811865568161,242.0
Heuristic,391.314902305603,243.0
Heuristic,416.0941917896271,245.0
Heuristic,440.0646002292633,249.0
Heuristic,462.2821445465088,252.0
Heuristic,519.5113258361816,254.0
Heuristic,609.7543337345123,255.0
Heuristic,670.7179250717163,256.0
Heuristic,735.0123724937439,257.0
Heuristic,829.0425534248352,258.0
Heuristic,859.7662935256958,259.0
Heuristic,883.2195284366608,260.0
Heuristic,936.7624490261078,261.0
