,runTime,Value,BestBound,OptimalityGap
Solver,0.007954835891723633,84.0,253.0,0.33201581027667987
Solver,62.04081058502197,147.0,253.0,0.5810276679841897
Solver,304.23367834091187,158.0,253.0,0.6245059288537549
Solver,304.23633670806885,179.0,253.0,0.7075098814229249
Solver,305.047203540802,193.0,253.0,0.7628458498023716
Solver,697.731687784195,199.0,253.0,0.7865612648221344
Solver,697.7343075275421,200.0,253.0,0.7905138339920948
Solver,727.8486313819885,203.0,253.0,0.8023715415019763
Solver,727.8486313819885,204.0,253.0,0.8063241106719368
Solver,1003.9645800590515,205.0,253.0,0.8102766798418972
Solver,1003.9645800590515,206.0,253.0,0.8142292490118577
Solver,1974.8773226737976,207.0,253.0,0.8181818181818182
Solver,3600.12779045105,207.0,253.0,0.8181818181818182
