,runTime,Value,BestBound,OptimalityGap
Solver,0.014990568161010742,92.0,276.0,0.3333333333333333
Solver,9.322101831436157,151.0,276.0,0.5471014492753623
Solver,9.44065523147583,169.0,276.0,0.6123188405797102
Solver,172.27223443984985,190.0,276.0,0.6884057971014492
Solver,587.2603886127472,207.0,276.0,0.75
Solver,587.2603886127472,210.0,276.0,0.7608695652173914
Solver,640.836746931076,217.0,276.0,0.7862318840579711
Solver,640.8523707389832,219.0,276.0,0.7934782608695652
Solver,640.8665769100189,221.0,276.0,0.8007246376811594
Solver,745.0278334617615,222.0,276.0,0.8043478260869565
Solver,745.0338313579559,223.0,276.0,0.8079710144927537
Solver,745.0441870689392,226.0,276.0,0.8188405797101449
Solver,1405.5312254428864,228.0,276.0,0.8260869565217391
Solver,1405.5312254428864,229.0,276.0,0.8297101449275363
Solver,1879.8741343021393,231.0,276.0,0.8369565217391305
Solver,3232.387151479721,232.0,276.0,0.8405797101449275
Solver,3600.135984659195,232.0,276.0,0.8405797101449275
