,runTime,Value
Heuristic,0.0,72.0
Heuristic,0.009261369705200195,72.0
Heuristic,13.184875011444092,133.0
Heuristic,27.72378706932068,154.0
Heuristic,41.03870248794556,165.0
Heuristic,54.166563510894775,176.0
Heuristic,68.29082608222961,189.0
Heuristic,84.73774886131287,190.0
Heuristic,103.12511563301086,196.0
Heuristic,147.0798683166504,198.0
Heuristic,251.11790800094604,201.0
Heuristic,262.42210483551025,205.0
Heuristic,274.1875145435333,206.0
Heuristic,291.6063349246979,207.0
Heuristic,304.56123900413513,209.0
Heuristic,493.82157850265503,210.0
Heuristic,493.82714915275574,212.0
Heuristic,525.90207695961,214.0
Heuristic,540.0984787940979,217.0
Heuristic,554.6807227134705,219.0
Heuristic,572.8389868736267,222.0
Heuristic,686.1920375823975,224.0
Heuristic,1459.8312783241272,225.0
Heuristic,1539.7750253677368,226.0
Heuristic,1588.6473994255066,227.0
