,runTime,Value
Heuristic,0.0,84.0
Heuristic,0.012421846389770508,84.0
Heuristic,19.937591791152954,167.0
Heuristic,44.88031578063965,199.0
Heuristic,62.12805438041687,211.0
Heuristic,112.72675490379333,222.0
Heuristic,127.66841530799866,226.0
Heuristic,179.23941230773926,231.0
Heuristic,197.23930168151855,233.0
Heuristic,249.53276443481445,236.0
Heuristic,265.55478143692017,239.0
Heuristic,412.55109763145447,240.0
Heuristic,498.44271421432495,241.0
Heuristic,511.65510845184326,245.0
Heuristic,562.9527192115784,248.0
Heuristic,579.2927980422974,249.0
Heuristic,630.095507144928,251.0
Heuristic,649.114883184433,252.0
Heuristic,699.9570631980896,253.0
Heuristic,790.5334351062775,255.0
Heuristic,811.5143396854401,256.0
Heuristic,1118.9354774951935,257.0
Heuristic,1265.3974783420563,258.0
Heuristic,1626.3148746490479,259.0
