,runTime,Value
Heuristic,0.0,48.0
Heuristic,0.00795602798461914,48.0
Heuristic,1.86436128616333,66.0
Heuristic,3.1160435676574707,72.0
Heuristic,4.249302864074707,76.0
Heuristic,5.629149913787842,82.0
Heuristic,8.085088729858398,87.0
Heuristic,9.61771845817566,88.0
Heuristic,11.047878742218018,90.0
Heuristic,11.347747325897217,91.0
Heuristic,13.234012126922607,95.0
Heuristic,14.932349681854248,97.0
Heuristic,28.96209168434143,101.0
Heuristic,29.30281162261963,102.0
Heuristic,31.111404180526733,104.0
Heuristic,33.303916692733765,105.0
Heuristic,61.19207549095154,109.0
Heuristic,90.47791314125061,110.0
Heuristic,90.4809033870697,112.0
Heuristic,92.40156841278076,113.0
Heuristic,268.8726005554199,114.0
Heuristic,452.86698389053345,115.0
Heuristic,631.4723982810974,116.0
Heuristic,786.9008076190948,117.0
Heuristic,819.3623225688934,120.0
